Date,Time,NumSatellites,Fix,Latitude,Longitude,Altitude
,,0,0,0,0,0
,,0,0,0,0,0
1980-01-06,00:00:01,0,0,0,0,0
1980-01-06,00:00:03,1,0,0,0,0
1980-01-06,00:00:05,1,0,0,0,0
1980-01-06,00:00:07,1,0,0,0,0
1980-01-06,00:00:09,2,0,0,0,0
