time_sec,zeta_ema,b_ema,u
1757140674.8787973,7.686665058135986,-20.17865562438965,20.116668484210965
1757140674.9898806,7.324177435040474,-20.1476149559021,19.209385603096493
1757140675.1399498,7.00027031943202,-20.49297544956207,18.410061533337903
1757140675.2879906,7.01502535624057,-20.30799790740013,18.704125934632156
1757140675.4402614,6.612319646165891,-16.540782788336273,18.281337179396896
1757140675.5885959,6.363404948504583,-17.86651025811135,17.538574889574843
1757140675.7397108,6.140946921748147,-19.4489913629426,16.829088244348426
1757140675.8929744,5.502906853149447,-13.47654179479547,15.995867700522282
1757140676.046313,5.339600149274476,-15.685385107582551,15.349188996865497
1757140676.1970685,5.416401851481773,-15.549401431884819,15.774853379822122
1757140676.356452,5.232777560642608,-17.23428563885503,15.145430043266296
1757140676.5134995,4.632457485444035,-11.372571356912278,14.383285357716723
1757140676.6743479,4.036335423702351,-5.803942789066664,13.580813557011624
1757140676.8243203,3.7624703460520843,-2.5922139723672366,13.377220796724067
1757140676.9747903,3.925684786131682,-3.169594707846165,13.921976596241525
1757140677.142773,3.8146461382271517,-5.748830121379639,13.350095634706845
1757140677.309893,3.7689666934831525,-8.732673100173937,12.904707896071333
1757140677.4753149,3.634544551235676,-10.498839623693073,12.365133980248206
1757140677.6387026,3.528244694937396,-12.65595158995715,11.840919315889709
1757140677.8060238,3.4534805405394944,-15.057310809775698,11.369397430505067
1757140677.9732814,3.3873439747933425,-17.55761833447246,10.90086877637492
1757140678.1387768,3.3516686591408336,-20.435870306542782,10.458499824826998
1757140678.301507,3.3358250976857144,-23.488837609697086,10.040957469193025
1757140678.461073,3.339808779477454,-26.888441673426097,9.622565884795005
1757140678.6193445,3.3824855463141277,-30.469778714510653,9.286945882543725
1757140678.779489,3.3673691926014793,-33.15578036411227,8.907158585489377
1757140678.9488068,3.3135724235307924,-35.05236565926114,8.527344363443818
1757140679.1086397,2.7765985409711957,-28.299747376298086,7.983721987250674
1757140679.2805192,2.2887432929158606,-21.88476000748318,7.533736799531216
1757140679.4378726,1.7631340720719475,-15.790522007109022,6.909345780939784
1757140679.600991,1.79977406894595,-17.984843906326326,6.726836406391728
1757140679.7581458,2.063282393849483,-17.812788152431516,7.589238426653391
1757140679.9161568,1.5438500685143084,-11.922148744809938,6.951985113279811
1757140680.0699043,1.7823758105948795,-11.712113490224775,7.745067178700021
1757140680.2228892,1.7395938974111742,-9.181790408486973,8.0452345768658
1757140680.378715,1.9796580934936794,-9.223382765198854,8.818357209303848
