time_sec,zeta_ema,b_ema,u,e_sum
1757143894.8599293,0.5309849381446838,-35.27133560180664,-0.10466942537921668,-0.0872208869457245
1757143894.9940755,0.4975633241236209,-34.65170736312866,-0.11729996655537452,-0.09773541156947613
1757143895.1599624,0.45591734614223234,-33.806778397560116,-0.1321666730155145,-0.110109110904485
1757143895.3265254,0.42907652994431544,-33.16546119856834,-0.14059486253939646,-0.11711634701352563
1757143895.4933555,0.4343690569541416,-33.07396613088845,-0.13634034987714397,-0.1135551328318137
1757143895.6614952,0.46656535968924395,-33.460975221804965,-0.12168371343974996,-0.1013270723734277
1757143895.833673,0.5204553620066006,-34.209137131185905,-0.09834174968095995,-0.08186369030855878
1757143896.0064087,0.5750860944632163,-34.96785599484145,-0.07467866923604392,-0.06213551271680634
1757143896.1766343,0.6324247088513073,-35.82739623953297,-0.05059714370335915,-0.04206160796967606
1757143896.3423014,0.7037614254312945,-36.92764706354265,-0.021001004933676654,-0.017395757919779264
1757143896.5133803,0.7832598194230964,-38.16439802640556,0.011858728684296261,0.009985929447492603
1757143896.6833503,0.8765774736316901,-39.66770079964582,0.04981676052878107,0.04161172881938685
1757143896.8539248,0.985305078927309,-41.479507715229936,0.09332492332728116,0.07785746231135515
1757143897.0263002,1.0761796908561876,-43.036818187622735,0.12918052853105344,0.10772166355186641
1757143897.1918745,1.1513450605804987,-44.3655265183539,0.1583571146358763,0.1320172651067103
1757143897.3622875,1.211798795062155,-45.388727014335615,0.18237684845581975,0.1520121273877213
1757143897.5288682,1.252033354439296,-46.02259094895819,0.1989388413618252,0.16579076773006612
1757143897.6841743,1.3128257230103608,-47.11579123549465,0.2223246292298041,0.18525494915023394
1757143897.8429973,1.3751550012252298,-48.243651881239444,0.24622045015449234,0.20514098180022045
1757143898.001633,1.4291235723843663,-49.29572099616185,0.2660119185891163,0.22160457623056468
1757143898.1589677,1.4938636852118339,-50.628115503604725,0.2889051144087919,0.24065068756986963
1757143898.3147957,1.5542082211546417,-51.92092313784831,0.309638331729535,0.2578948791988377
1757143898.4723573,1.5921275665475625,-52.81509037512093,0.32170214424530713,0.2679128795225719
1757143898.6311839,1.5979657935706788,-53.15196170322768,0.32120510518506745,0.2674632797530626
1757143898.7841222,1.5680760750400635,-52.86677210347889,0.30673260475640046,0.2553703164852429
1757143898.9399478,1.5299924382335177,-52.420593074720955,0.2892740795675513,0.2407902883695493
1757143899.0957034,1.5005402376580157,-52.21372166988627,0.2741207605699543,0.22813290213014514
1757143899.250714,1.4844155192187947,-52.194029658352406,0.26471637730096115,0.2202674630258733
1757143899.4060826,1.4853640323699457,-52.46311769569846,0.2620903081855265,0.2180508392279883
1757143899.562777,1.5110258906612688,-53.13991145690962,0.2694010139680821,0.22411383076153812
1757143899.7159762,1.5683836675736704,-54.41686974148602,0.2885289540549959,0.24002313637197503
1757143899.8721313,1.634564410666697,-55.85668985914804,0.3109999569205634,0.25871530674186805
1757143900.0263345,1.7154416188290407,-57.55851479001876,0.3391478781001086,0.28213566151433267
1757143900.1824903,1.7817474630928192,-59.0890057985647,0.3606123490554835,0.2999836735607626
1757143900.3374476,1.8135969366712714,-59.95737159445189,0.36934924985559486,0.3072247523911168
1757143900.493466,1.774791995662369,-59.42245410268095,0.35253103602011154,0.29317145680437495
1757143900.6488433,1.6620918666114624,-57.46440264846243,0.3084474147930951,0.25640190682110686
1757143900.8095198,1.5300240811755959,-55.10869231027454,0.2575096408345869,0.2139251174850525
1757143900.9677136,1.4135169488388466,-53.04528516821052,0.21239413730418907,0.1763056227373181
1757143901.1253545,1.3298528469689943,-51.57484196998066,0.17986450471885818,0.1491780037846906
1757143901.283812,1.3155089818670198,-51.29386617549774,0.17465284438535303,0.14481582917853253
1757143901.4441297,1.3500258101097893,-51.928880851647165,0.18776773065126995,0.155724096538423
1757143901.6030002,1.415828984421347,-53.160156688215196,0.21250233624080153,0.1763129253285215
1757143901.7628458,1.4942822489835437,-54.60954288151439,0.24221379702235654,0.2010456956766279
1757143901.918657,1.5615638168665502,-55.99314616651582,0.26601390859235957,0.22085044676811694
1757143902.075298,1.6178801286629931,-57.16420647903964,0.2857881429134545,0.2372979995411001
1757143902.2358882,1.6723935342819978,-58.387200378720465,0.30386077952356266,0.2523247633537943
1757143902.392813,1.7254683365565453,-59.59291970548757,0.3212788966275988,0.26680497122339697
1757143902.5489116,1.7810073992247202,-60.880996422239555,0.33918938797702247,0.28169373538996456
1757143902.7034473,1.8468453134698744,-62.37932483599085,0.3607584988776875,0.2996294083750286
1757143902.858848,1.9162119391881347,-63.94346787763857,0.38365827926352186,0.31867129081768164
1757143903.0129802,1.9450174883163744,-64.70616081676445,0.3918394475712349,0.32544713599054265
1757143903.1728947,1.9419012188314335,-64.93746425663912,0.38724547562323824,0.32157596684932555
1757143903.3302019,1.9029339366584013,-64.49087218699563,0.36927243539711607,0.30655824645924434
1757143903.4835315,1.8017442672458825,-62.858329538949555,0.3281908957274308,0.27228883823344574
1757143903.6411881,1.6635383999901174,-60.45822841348828,0.27410440570788946,0.22718691586017592
1757143903.800159,1.5197886590887406,-57.8640192995613,0.21901388530344257,0.18125413654875733
1757143903.9530213,1.3538400755815538,-54.7611566124,0.1566988538676302,0.12930847166677695
1757143904.1088505,1.1929549281962901,-51.7059180767095,0.09684300362735568,0.07941828333105005
1757143904.264446,1.030345260094581,-48.45912357858997,0.038243494977564026,0.030581394261390837
1757143904.4224494,0.8894822558178792,-45.48157726980817,-0.010545343588001979,-0.010074644789142106
1757143904.581422,0.7738936982943192,-42.96833031072908,-0.04974630912554094,-0.042736453960131204
1757143904.7421155,0.7015983969245251,-41.184978296955016,-0.07173307610666689,-0.06105058450728762
1757143904.905377,0.6803437982758086,-40.36285516030551,-0.07463071769401411,-0.06345665246515081
1757143905.0614676,0.7091959425829044,-40.4524590987624,-0.05840247087080483,-0.04992661969617179
1757143905.217603,0.7807385348847589,-41.393557991358456,-0.026773781948108002,-0.023566312471205164
1757143905.3788319,0.8490607909751462,-42.295904437188476,0.0033916676891322514,0.0015713511156883464
1757143905.5379221,0.9157696052166721,-43.22786271722114,0.032237530909168574,0.02560617543612459
1757143905.6944811,0.9896649509255345,-44.3597171857302,0.06300050530242896,0.0512353036054653
1757143905.8534927,1.0621982882524572,-45.49746062026693,0.09287969223971985,0.07612453792355933
1757143906.011023,1.1293906933665068,-46.58377876662174,0.12017489042503332,0.09885755901703597
1757143906.1697042,1.2049114722281495,-47.885136398114874,0.14989068032005518,0.12360437213292602
1757143906.32621,1.2942288535193909,-49.519474930381975,0.1838928217902694,0.1519196774558757
1757143906.4833438,1.371188055126716,-50.957627389307206,0.212838172470458,0.17601775367028594
1757143906.6403368,1.4105004113082158,-51.690422670842814,0.22766161227864082,0.18834597894567973
1757143906.8008971,1.3910273173556589,-51.3165521720663,0.22049347925496862,0.18234813695716645
1757143906.9610815,1.3614302621434697,-50.78987594590928,0.20908304394350571,0.17281637161264207
1757143907.1167295,1.3262176840348083,-50.1339598768853,0.19585166861753245,0.16176924324855113
1757143907.2742965,1.3174194586675252,-49.956074672958025,0.1927324279605434,0.15914898260418237
1757143907.4340353,1.3329957949897489,-50.19390593381696,0.19925054450404414,0.1645588381567048
1757143907.6009145,1.338622746506512,-50.288450482401984,0.20151995722395133,0.16642686842923615
1757143907.772896,1.3607369013202397,-50.6815089610895,0.21010159419631477,0.17355336104922492
1757143907.9353604,1.3770279805057841,-51.02879299484654,0.21573778877397598,0.17822606030442667
1757143908.0952885,1.3632465764069475,-50.87972398871994,0.20928541445650495,0.17282604831627435
1757143908.2538295,1.3684405183767,-51.122149456154055,0.20952010133759158,0.17299876462680952
1757143908.415575,1.3816730649447424,-51.48813156006754,0.2130963071927506,0.1759552168716958
1757143908.5784168,1.4033974992848617,-51.96572064093868,0.22042953854497013,0.1820415432330441
1757143908.7458673,1.4280052083965462,-52.56659613843276,0.2280151215873639,0.18833664281394558
1757143908.9131246,1.4730504059120522,-53.594608265715216,0.2427397178299158,0.20057912029887393
1757143909.0765069,1.5304213164407292,-54.817077788342544,0.26252809490233203,0.2170398803369391
1757143909.2431223,1.5705458847930396,-55.64963049987756,0.2766503201786986,0.22877663739774423
1757143909.411843,1.5617114466267672,-55.543494990813855,0.27266131745704353,0.22542077340524502
1757143909.578218,1.52713337279816,-54.97637978869747,0.2587554270241324,0.21380288851210527
1757143909.7459385,1.4522009218480343,-53.65496653809316,0.22968470657425222,0.18955079554308552
1757143909.9107087,1.3657501124847775,-52.024772913947295,0.197403336538851,0.16262732710291583
1757143910.076771,1.2968102561889492,-50.61274668585247,0.1730073683290532,0.14227766123594987
1757143910.2477026,1.2536098340238613,-49.65128879110452,0.1586468809754538,0.13029202910088544
1757143910.415451,1.2137514139345493,-48.78555231633201,0.14514063195712884,0.11902018380395457
1757143910.5835476,1.1913187450045988,-48.26310552632107,0.1379693918294504,0.11302831723908868
1757143910.7508633,1.2047171899259996,-48.355782159184706,0.1449162160851483,0.11880077337115275
1757143910.9171193,1.2264585368982819,-48.6143247620409,0.1548796419626845,0.12708602082873194
1757143911.086558,1.2368604778741075,-48.69886902961512,0.1601285461079341,0.13144154864090257
1757143911.2556603,1.2412535982846777,-48.72367632581503,0.1624892835628094,0.13339003588418857
