time_sec,zeta_ema,b_ema,u,e_sum
1761798335.3534935,-11.832855224609375,100,-5.498565673828125,-1.832855224609375
1761798335.5198379,-11.845192098617554,100.0,-5.535576295852662,-1.845192098617554
1761798335.6854274,-11.840367262363433,100.0,-5.5211017870902985,-1.8403672623634328
1761798335.8487751,-11.756170792937278,100.0,-5.268512378811833,-1.7561707929372776
1761798336.0153084,-11.694302671533821,100.0,-5.082908014601463,-1.694302671533821
1761798336.1832669,-11.652885925484595,100.0,-4.958657776453785,-1.6528859254845951
1761798336.353465,-11.611797224608313,100.0,-4.83539167382494,-1.6117972246083134
1761798336.522836,-11.569001142751066,100.0,-4.7070034282531985,-1.5690011427510662
1761798336.6909199,-11.531597514293933,100.0,-4.5947925428818,-1.5315975142939333
1761798336.8574622,-11.496962762251721,100.0,-4.490888286755164,-1.4969627622517212
1761798337.026689,-11.461468710061375,100.0,-4.384406130184125,-1.461468710061375
1761798337.1936243,-11.400235999503375,100.0,-4.200707998510124,-1.4002359995033746
1761798337.3615394,-11.339680452579962,100.0,-4.019041357739887,-1.3396804525799624
1761798337.5296667,-11.285563308460485,100.0,-3.856689925381456,-1.2855633084604854
1761798337.6994617,-11.218469848771713,100.0,-3.6554095463151395,-1.2184698487717132
1761798337.865678,-11.149235990656246,100.0,-3.447707971968738,-1.149235990656246
1761798338.0335479,-11.082452120047993,100.0,-3.2473563601439785,-1.0824521200479928
1761798338.2035153,-11.031888149757263,100.0,-3.095664449271789,-1.031888149757263
1761798338.3732915,-10.982741442769887,100.0,-2.948224328309662,-0.9827414427698873
1761798338.542659,-10.941411625422653,100.0,-2.8242348762679583,-0.9414116254226528
1761798338.7122774,-10.90352631064627,100.0,-2.7105789319388123,-0.9035263106462708
1761798338.8811557,-10.864870695568667,100.0,-2.594612086706002,-0.8648706955686674
1761798339.049807,-10.836842700722485,100.0,-2.5105281021674557,-0.8368427007224852
1761798339.2168057,-10.811533463635579,100.0,-2.434600390906736,-0.8115334636355787
1761798339.3831048,-10.793116748339541,100.0,-2.379350245018623,-0.7931167483395409
1761798339.5526953,-10.773990467196978,100.0,-2.3219714015909325,-0.7739904671969775
1761798339.7215235,-10.737875448918306,100.0,-2.2136263467549178,-0.7378754489183059
1761798339.8893535,-10.676887285603248,100.0,-2.030661856809745,-0.6768872856032484
1761798340.0566766,-10.616813492078089,100.0,-1.850440476234267,-0.616813492078089
1761798340.2223737,-10.536129029327212,100.0,-1.6083870879816349,-0.5361290293272116
1761798340.3888774,-10.474640828516979,100.0,-1.4239224855509356,-0.47464082851697853
1761798340.5548174,-10.396396000225893,100.0,-1.1891880006776798,-0.3963960002258933
1761798340.7202213,-10.336526647297118,100.0,-1.0095799418913547,-0.33652664729711823
1761798340.8869138,-10.282240798406994,100.0,-0.846722395220981,-0.2822407984069937
1761798341.0549495,-10.231332236346141,100.0,-0.6939967090384229,-0.23133223634614097
1761798341.2230818,-10.188906869417139,100.0,-0.5667206082514156,-0.18890686941713852
1761798341.3907902,-10.130950783758783,100.0,-0.392852351276348,-0.13095078375878266
1761798341.5579798,-10.084171682910076,100.0,-0.25251504873022945,-0.08417168291007648
1761798341.7260387,-10.025507580042039,100.0,-0.07652274012611571,-0.02550758004203857
1761798341.8953831,-9.970716814458516,100.0,0.08784955662445171,0.029283185541483903
1761798342.0654774,-9.914935957637567,100.0,0.2551921270872981,0.0850640423624327
1761798342.2311366,-9.861406843547803,100.0,0.4157794693565915,0.13859315645219716
1761798342.3986375,-9.804830088864309,100.0,0.5855097334070738,0.19516991113569127
1761798342.5662284,-9.752469911096508,100.0,0.7425902667104758,0.24753008890349193
1761798342.7350996,-9.698443694136651,100.0,0.9046689175900458,0.3015563058633486
1761798342.9032774,-9.646100406906015,100.0,1.0616987792819543,0.3538995930939848
1761798343.0715425,-9.628027735956467,100.0,1.1159167921305997,0.37197226404353323
1761798343.2370756,-9.730007191367505,100.0,0.8099784258974836,0.26999280863249453
1761798343.403954,-9.810681457195857,100.0,0.5679556284124292,0.18931854280414306
1761798343.5699947,-9.84759327285535,100.0,0.45722018143394827,0.15240672714464942
1761798343.7382097,-9.875162473195738,100.0,0.37451258041278557,0.12483752680426186
1761798343.906669,-9.940270135134705,100.0,0.17918959459588457,0.05972986486529486
1761798344.0746498,-9.91966739879423,100.0,0.2409978036173097,0.0803326012057699
1761798344.2420998,-9.945527414550929,100.0,0.16341775634721323,0.054472585449071076
1761798344.411618,-9.955743967559954,100.0,0.13276809732013817,0.044256032440046056
1761798344.5807226,-9.877355935289135,100.0,0.3679321941325959,0.12264406471086531
1761798344.7489033,-9.818525608388569,100.0,0.5444231748342929,0.18147439161143097
1761798344.9168072,-9.761538212704249,100.0,0.7153853618872539,0.2384617872957513
1761798345.0858164,-9.713996704367009,100.0,0.858009886898973,0.286003295632991
1761798345.253985,-9.663458316673681,100.0,1.0096250499789559,0.3365416833263186
1761798345.4215348,-9.6152339882576,100.0,1.1542980352271996,0.3847660117423999
1761798345.5903635,-9.656037440059318,100.0,1.031887679822045,0.3439625599406817
1761798345.7587802,-9.709139975557573,100.0,0.8725800733272813,0.2908600244424271
1761798345.9261208,-9.764590169009919,100.0,0.7062294929702428,0.23540983099008095
1761798346.0985892,-9.814755159384497,100.0,0.5557345218465102,0.1852448406155034
1761798346.2659464,-9.865305443483754,100.0,0.4040836695487382,0.13469455651624607
1761798346.436556,-9.900075621291256,100.0,0.29977313612623213,0.09992437870874404
1761798346.6060944,-9.939421949327034,100.0,0.18173415201889753,0.060578050672965844
1761798346.7742083,-9.974237961235682,100.0,0.07728611629295479,0.025762038764318262
1761798346.9435074,-10.021825186937935,100.0,-0.06547556081380534,-0.021825186937935115
1761798347.1127076,-10.075986145837499,100.0,-0.22795843751249656,-0.07598614583749885
1761798347.282785,-10.122749744810882,100.0,-0.36824923443264623,-0.12274974481088208
1761798347.4511921,-10.165291752428127,100.0,-0.4958752572843803,-0.16529175242812677
1761798347.624551,-10.210994402279255,100.0,-0.6329832068377641,-0.2109944022792547
1761798347.7916777,-10.25863769821754,100.0,-0.7759130946526174,-0.2586376982175391
1761798347.9569373,-10.290938967603537,100.0,-0.8728169028106123,-0.29093896760353744
1761798348.1224766,-10.017382276486543,100.0,-0.05214682945963034,-0.017382276486543446
1761798348.2869537,-9.922871357013411,100.0,0.2313859289597655,0.0771286429865885
1761798348.4528954,-9.947269647835835,100.0,0.15819105649249465,0.052730352164164884
1761798348.618691,-9.999415070854809,100.0,0.00175478743557278,0.0005849291451909266
1761798348.7811465,-10.00007212111456,100.0,-0.0002163633436786938,-7.21211145595646e-05
1761798348.9428172,-9.97838749241479,100.0,0.06483752275563148,0.021612507585210494
1761798349.1084366,-9.988751994213116,100.0,0.03374401736065202,0.011248005786884008
1761798349.2721784,-9.998897486238299,100.0,0.0033075412851033548,0.0011025137617011183
1761798349.432395,-9.979564413073845,100.0,0.06130676077846431,0.02043558692615477
1761798349.5982573,-9.955193803122668,100.0,0.13441859063199502,0.04480619687733167
1761798349.7627742,-9.93266108745384,100.0,0.20201673763848227,0.06733891254616076
1761798349.930847,-9.899581318679902,100.0,0.30125604396029537,0.10041868132009846
1761798350.099183,-9.865226566100398,100.0,0.40432030169880484,0.1347734338996016
1761798350.2665713,-9.828323289095426,100.0,0.5150301327137221,0.17167671090457404
1761798350.4292037,-9.859836363913725,100.0,0.42049090825882374,0.14016363608627458
1761798350.5897784,-9.82016585957607,100.0,0.5395024212717896,0.17983414042392987
1761798350.7561777,-9.775572275688452,100.0,0.673283172934644,0.224427724311548
1761798350.918883,-9.813003826927833,100.0,0.560988519216501,0.18699617307216698
1761798351.0832775,-9.790127454551168,100.0,0.6296176363464951,0.20987254544883172
1761798351.2475882,-9.751506949896118,100.0,0.7454791503116454,0.24849305010388179
1761798351.413768,-9.739693874282416,100.0,0.7809183771527515,0.2603061257175838
1761798351.5801153,-9.72202156231268,100.0,0.8339353130619607,0.2779784376873202
1761798351.747544,-9.787335832250024,100.0,0.6379925032499276,0.21266416774997587
1761798351.9147825,-9.848448023562938,100.0,0.4546559293111869,0.1515519764370623
1761798352.0817716,-9.896092150705103,100.0,0.31172354788469114,0.10390784929489705
1761798352.2481263,-9.922448622576585,100.0,0.23265413227024467,0.07755137742341489
1761798352.4145908,-9.952656662486573,100.0,0.14203001254028003,0.047343337513426675
1761798352.5785728,-9.991966406724304,100.0,0.024100779827088914,0.008033593275696305
1761798352.740614,-10.011487110664822,100.0,-0.034461331994465993,-0.011487110664821998
1761798352.9083073,-10.031264069676258,100.0,-0.0937922090287735,-0.03126406967625783
1761798353.073596,-10.07516309306012,100.0,-0.22548927918035844,-0.07516309306011948
1761798353.235046,-10.116331343360116,100.0,-0.34899403008034824,-0.11633134336011608
1761798353.3980212,-10.153262702904145,100.0,-0.45978810871243603,-0.15326270290414534
1761798353.5639505,-10.15095363842239,100.0,-0.4528609152671699,-0.15095363842238996
1761798353.7308726,-10.177230877155568,100.0,-0.5316926314667025,-0.1772308771555675
1761798353.8948529,-10.160353271514952,100.0,-0.4810598145448548,-0.1603532715149516
1761798354.0570374,-10.184620678358515,100.0,-0.5538620350755448,-0.18462067835851492
1761798354.2225637,-10.201355430420813,100.0,-0.6040662912624395,-0.20135543042081316
1761798354.386146,-10.183645199030387,100.0,-0.5509355970911614,-0.18364519903038712
1761798354.550826,-10.196984864051402,100.0,-0.5909545921542048,-0.1969848640514016
1761798354.7162433,-10.205248327986894,100.0,-0.6157449839606812,-0.20524832798689374
1761798354.8789399,-10.185286471585108,100.0,-0.5558594147553251,-0.18528647158510836
1761798355.043392,-10.209195470683465,100.0,-0.6275864120503947,-0.2091954706834649
1761798355.208719,-10.193779785512938,100.0,-0.5813393565388125,-0.1937797855129375
1761798355.37253,-10.19910077167064,100.0,-0.5973023150119197,-0.1991007716706399
1761798355.5378928,-10.189829946725412,100.0,-0.5694898401762369,-0.1898299467254123
1761798355.703309,-10.185292501360577,100.0,-0.5558775040817299,-0.18529250136057662
1761798355.8664844,-10.171783167277654,100.0,-0.5153495018329632,-0.1717831672776544
1761798356.0330033,-10.196102353182571,100.0,-0.5883070595477129,-0.19610235318257097
