timestamp,theta,b,detected
2025-09-02T13:47:46.862650,0.3485731168825194,-9.791884549117412,1.0
2025-09-02T13:47:47.026544,0.5783683807690511,-15.160761833158631,1.0
2025-09-02T13:47:47.176882,-0.1824214698250625,1.7902693968819676,1.0
2025-09-02T13:47:47.327721,-0.5314048223285096,8.608895180206446,1.0
2025-09-02T13:47:47.478547,-0.9020962819929792,15.932102739422021,1.0
2025-09-02T13:47:47.632186,1.055297624056816,-26.87437983098448,1.0
2025-09-02T13:47:47.784226,1.1822189957848372,-30.717748987437062,1.0
2025-09-02T13:47:47.934033,1.1059222488234701,-32.17497711645092,1.0
2025-09-02T13:47:48.086214,1.059896298766427,-31.128630167402434,1.0
2025-09-02T13:47:48.240126,0.8066723442066699,-31.395684002643293,1.0
2025-09-02T13:47:48.398251,2.4102589510035553,-45.962979950790555,1.0
2025-09-02T13:47:48.560596,2.716029921623458,-51.70425937578216,1.0
2025-09-02T13:47:48.717578,2.3289735542579435,-44.44041434282644,1.0
2025-09-02T13:47:48.874511,2.0127595489629835,-39.121073857548254,1.0
2025-09-02T13:47:49.028245,0.6339424667487966,-25.574566082148635,1.0
2025-09-02T13:47:49.184509,2.0541438717611276,-43.77849455042906,1.0
2025-09-02T13:47:49.343650,1.8974890926237677,-40.637909936859955,1.0
2025-09-02T13:47:49.494622,1.1306867921062902,-30.916786483855617,1.0
2025-09-02T13:47:49.652924,1.3506846608045973,-31.729485705734305,1.0
2025-09-02T13:47:49.813042,1.9436707276513088,-48.06976734064676,1.0
2025-09-02T13:47:49.962004,2.1248933161278933,-51.06722874993329,1.0
2025-09-02T13:47:50.111907,1.7679605221948658,-46.59459144485663,1.0
2025-09-02T13:47:50.262291,1.6287462501750842,-43.81236255239003,1.0
2025-09-02T13:47:50.414817,1.7079019530089563,-45.62100776116199,1.0
2025-09-02T13:47:50.569069,1.4780323324054558,-41.51893432934867,1.0
2025-09-02T13:47:50.726835,0.882834090380329,-24.41113701020049,1.0
2025-09-02T13:47:50.883276,0.2133696544720235,-10.48184952755878,1.0
2025-09-02T13:47:51.036335,1.2576234300999447,-38.566098901632586,1.0
2025-09-02T13:47:51.194347,-0.6440534513448983,7.173179718240931,1.0
2025-09-02T13:47:51.349427,-0.5542101227839336,6.334417900271092,1.0
2025-09-02T13:47:51.501336,0.8695973188202607,-32.100906735675835,1.0
2025-09-02T13:47:51.659290,0.23079409626130337,-6.448721293554286,1.0
2025-09-02T13:47:51.816266,0.9285670106028786,-19.371483965414882,1.0
2025-09-02T13:47:51.971212,1.4296590107975367,-45.286867563029205,1.0
2025-09-02T13:47:52.124123,1.768206041470387,-51.658387066720366,1.0
2025-09-02T13:47:52.278014,1.5294874330731516,-29.714236524775288,1.0
2025-09-02T13:47:52.431949,1.5546986741865034,-48.26893253134881,1.0
2025-09-02T13:47:52.583574,1.5276654986062619,-49.736443732569796,1.0
2025-09-02T13:47:52.738652,1.1780746241962516,-43.052772943050286,1.0
2025-09-02T13:47:52.891222,1.1329496637805196,-40.66187337233737,1.0
2025-09-02T13:47:53.046217,2.504782463365129,-48.71821112386988,1.0
2025-09-02T13:47:53.197009,1.9207925184278174,-59.007436755352956,1.0
2025-09-02T13:47:53.347629,2.134707123677538,-41.95497833403397,1.0
2025-09-02T13:47:53.497617,1.7389632718791201,-55.28633711977125,1.0
